,Year,Population
0,1960,1646400.0
1,1961,1702400.0
2,1962,1750200.0
3,1963,1795000.0
4,1964,1841600.0
5,1965,1886900.0
6,1966,1934400.0
7,1967,1977600.0
8,1968,2012000.0
9,1969,2042500.0
10,1970,2074507.0
11,1971,2112900.0
12,1972,2152400.0
13,1973,2193000.0
14,1974,2229800.0
15,1975,2262600.0
16,1976,2293300.0
17,1977,2325300.0
18,1978,2353600.0
19,1979,2383500.0
20,1980,2413945.0
21,1981,2532835.0
22,1982,2646466.0
23,1983,2681061.0
24,1984,2732221.0
25,1985,2735957.0
26,1986,2733373.0
27,1987,2774789.0
28,1988,2846108.0
29,1989,2930901.0
30,1990,3047132.0
31,1991,3135083.0
32,1992,3230698.0
33,1993,3313471.0
34,1994,3419048.0
35,1995,3524506.0
36,1996,3670704.0
37,1997,3796038.0
38,1998,3927213.0
39,1999,3958723.0
40,2000,4027887.0
41,2001,4138012.0
42,2002,4175950.0
43,2003,4114826.0
44,2004,4166664.0
45,2005,4265762.0
46,2006,4401365.0
47,2007,4588599.0
48,2008,4839396.0
49,2009,4987573.0
50,2010,5076732.0
51,2011,5183688.0
52,2012,5312437.0
53,2013,5399162.0
54,2014,5469724.0
55,2015,5535002.0
56,2016,5607283.0
57,2017,5612253.0
58,2018,5638676.0
59,2019,5703569.0
60,2020,5685807.0
61,2021,5453566.0
62,2022,5637022.0
63,2023,5917648.0
64,2024,6036860.0
